[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:1352 NAME:svchost.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:5448 NAME:RzAppManager
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:13640 NAME:powershell.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:2380 NAME:svchost.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:20812 NAME:conhost.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:35148 NAME:logi_crashpad_handler.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:24912 NAME:Spotify.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:2388 NAME:svchost.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:20820 NAME:chrome.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:34132 NAME:msedge.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:9560 NAME:conhost.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:4444 NAME:wireguard.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:31068 NAME:chrome.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:35164 NAME:wslhost.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:17756 NAME:ShellExperienceHost.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:15712 NAME:YourPhoneAppProxy.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:17764 NAME:RuntimeBroker.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:5480 NAME:RzBTLEManager
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:9580 NAME:sihost.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:4464 NAME:wslservice.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:31092 NAME:msedge.exe
